,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57,item58,item59,item60,item61,item62,item63,item64,item65,item66,item67,item68,item69,item70,item71,item72,item73,item74,item75
95,Homeroom 11,[Sekolah Cikal Amri] Comic Making B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,(Sekolah Cikal Amri) Islamic Studies 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Cikal Holiday Program Movie Making SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,[Sekolah Cikal Serpong] Mathematics 8,[Sekolah Cikal Serpong] Design 8,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Serpong] Sciences 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Serpong] Mathematics 6,[Sekolah Cikal Serpong] PSE 6,[Sekolah Cikal Serpong] Social Studies 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,[Sekolah Cikal Amri] PHE 12,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,[Sekolah Cikal Amri] Mathematics 9 (Standard),Cikal Holiday Program Visual Arts SMA,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Cikal Holiday Program Movie Making SMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,[Sekolah Cikal Amri] Math Analysis and Approaches SL 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,[Sekolah Cikal Amri] Standard Mathematics 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Media 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] Mathematics 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Sciences 5,[Sekolah Cikal Cilandak] English Acquisition 5,[Sekolah Cikal Cilandak] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] PSE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] PSE 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Sciences 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,[Sekolah Cikal Amri] Bahasa Indonesia Akuisisi 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,[Sekolah Cikal Cilandak] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,[Sekolah Cikal Serpong] Design 7,[Sekolah Cikal Serpong] Leadership in Design A & B,[Sekolah Cikal Serpong] Stage Production A 7 & 8,[Sekolah Cikal Serpong] Mathematics 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Serpong] Mathematics 5,Mathematics 5,[Sekolah Cikal Serpong] PSE 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,[Sekolah Cikal Cilandak] PHE 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,[Sekolah Cikal Cilandak] PSE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] English Acquisition 4 1:4,(Sekolah Cikal Cilandak) Islamic Studies 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,[Sekolah Cikal Amri] Islamic Studies 8,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Sciences 8,ISB - Cara Belajar Seru Blended Learning,[Sekolah Cikal Amri] English Acquisition 8,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Amri] Indonesian Acqusition 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,[Sekolah Cikal Cilandak] Mathematics 5,Sekolah Cikal - Kelas 4 - Bahasa Indonesia,Sekolah Cikal - Kelas 4 - Pendidikan Jasmani Olahraga dan Kesehatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Amri] English Acquisition 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,[Sekolah Cikal Amri] Mathematics 7 1:4 (Year 11),Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Sekolah Cikal Commencement Program for Secondary,Islamic Studies 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,[Sekolah Cikal Serpong ] Sciences 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Social Studies 5,[Sekolah Cikal Cilandak] Mathematics 5,Sekolah Cikal - Kelas 4 - Pendidikan Jasmani Olahraga dan Kesehatan,[Sekolah Cikal Cilandak] Computer Graphic Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,[Sekolah Cikal Amri] PHE 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,[Sekolah Cikal Cilandak] Mathematics 5,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,[Sekolah Cikal Cilandak] Leadership in Marketing A 5&6,[Sekolah Cikal Cilandak] English Acquisition 5,[Sekolah Cikal Cilandak] Sciences 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Mathematics 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,[Sekolah Cikal Cilandak] Mathematics 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Cikal Holiday Program Movie Making SMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Sekolah Cikal Commencement Program for Primary,Sekolah Cikal - Kelas 5 - Bahasa Indonesia,Sekolah Cikal - Kelas 5 - Pendidikan Agama Islam,Sekolah Cikal - Kelas 5 - Bahasa Inggris,[Sekolah Cikal Cilandak] Self Management 6 (1:1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,[Sekolah Cikal Cilandak] PHE 5,[Sekolah Cikal Cilandak] English Acquisition 5,[Sekolah Cikal Cilandak] Sciences 5,[Sekolah Cikal Cilandak] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,[Sekolah Cikal Amri] English Acquisition 9,[Sekolah Cikal Amri] Self-Management 8 (Year 9),Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,[Sekolah Cikal Surabaya] Design 9 and 10,Cikal Holiday Program Visual Arts SMA,Sekolah Cikal IGCSE Mathematics,[Sekolah Cikal Surabaya] Visual Arts 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,[Sekolah Cikal Amri] Social Studies 7,[Sekolah Cikal Amri] Design 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,[Sekolah Cikal Serpong] Sciences 6,Sekolah Cikal - Kelas 5 - Seni Budaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,[Sekolah Cikal Amri] English Acquistion  7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,[Sekolah Cikal Amri] PHE 9,[Sekolah Cikal Amri] Bahasa Indonesia Akuisisi 9,[Sekolah Cikal Amri] Mathematics 9 (Standard),[Sekolah Cikal Amri] English Acquisition 9,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",ISB - Cara Belajar Seru Blended Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Sekolah Cikal Commencement Program for Secondary,Sekolah Cikal Serpong Mathematics 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,[Sekolah Cikal Amri] Comic Making B,[Sekolah Cikal Amri] PHE 10,[Sekolah Cikal Amri] Standard Mathematics 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,[Sekolah Cikal Serpong] Mathematics for Sciences 11,[Sekolah Cikal Serpong] Physics 11,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,[Sekolah Cikal Amri] Design 7,[Sekolah Cikal Amri] Social Studies 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Indonesian Acquisition - Komposisi Bahasa 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Comic Making B,[Sekolah Cikal Amri] Bahasa Indonesia Akuisisi 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,[Sekolah Cikal Surabaya] Design 9 and 10,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,[Sekolah Cikal Amri] Design 8,[Sekolah Cikal Amri] Ensemble Music A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,[Sekolah Cikal Serpong] Social Studies 6,[Sekolah Cikal Serpong] Mathematics 6,[Sekolah Cikal Serpong] English Acquisition 6,[Sekolah Cikal Serpong] Cikal Aksi-Aksi 6,[Sekolah Cikal Serpong] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,[Sekolah Cikal Cilandak] Sciences 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Serpong] Mathematics for Sciences 11,[Sekolah Cikal Serpong] Physics 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,[Sekolah Cikal Amri] IGCSE Science - Combined,[Sekolah Cikal Serpong] Design 9 and 10,Sekolah Cikal IGCSE Mathematics,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,[Sekolah Cikal Amri] Mathematics 8,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Individuals and Societies 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,[Sekolah Cikal Amri] Media 10,Media 10,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Amri] Mathematics 9 (Standard),"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,[Sekolah Cikal Amri] Indonesian Acqusition 8,[Sekolah Cikal Amri] Design 8,[Sekolah Cikal Amri] Individuals and Societies 8,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,[Sekolah Cikal Amri] Comic Making B,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,[Sekolah Cikal Amri] Mathematics 8,[Sekolah Cikal Amri] Individuals and Societies 8,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,[Sekolah Cikal Cilandak] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,[Sekolah Cikal Serpong] Mathematics 8,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,[Sekolah Cikal Cilandak] Mathematics 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Mengenal Pendidikan Inklusif,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Surabaya] Islamic Studies 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,[Sekolah Cikal Serpong] Design 9 and 10,[Sekolah Cikal Amri] IGCSE Science - Combined,Sekolah Cikal IGCSE Mathematics,Sekolah Cikal Serpong Mathematics 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Sekolah Cikal Commencement Program for Secondary,[Sekolah Cikal Serpong] Sciences 8,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",[Sekolah Cikal Serpong] Mathematics 8,[Sekolah Cikal Serpong] Design 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,[Sekolah Cikal Cilandak] PSE 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,[Sekolah Cikal Amri] Cikal Aksi-Aksi 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Sekolah Cikal - Kelas 5 - Matematika,[Sekolah Cikal Cilandak] English Acquisition 6,[Sekolah Cikal Cilandak] Sciences 6,Sekolah Cikal - Kelas 5 - IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Sekolah Cikal - Kelas 4 - Bahasa Indonesia,[Sekolah Cikal Cilandak] Indonesian Acquisition 5,[Sekolah Cikal Cilandak] Sciences 5,[Sekolah Cikal Cilandak] English Acquisition 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,Sekolah Cikal - Kelas 5 - Bahasa Inggris,Sekolah Cikal - Kelas 5 - IPS,[Sekolah Cikal Cilandak] Mathematics 6,Sekolah Cikal - Kelas 5 - IPA,Sekolah Cikal Commencement Program for Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,[Sekolah Cikal Cilandak] Sciences 6,[Sekolah Cikal Cilandak] English Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,[Sekolah Cikal Serpong ] Sciences 10,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,[Sekolah Cikal Cilandak] Mathematics 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,[Sekolah Cikal Cilandak] Theatre Intermediate 5 & 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,[Sekolah Cikal Serpong]  Sciences 7,[Sekolah Cikal Serpong] Bahasa Indonesia Akuisisi 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,[Sekolah Cikal Serpong] PSE 6,[Sekolah Cikal Serpong] Social Studies 6,[Sekolah Cikal Serpong] Mathematics 6,[Sekolah Cikal Serpong] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Sekolah Cikal Commencement Program for Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,[Sekolah Cikal Cilandak] Sciences 5,Sekolah Cikal Commencement Program for Primary,[Sekolah Cikal Cilandak] English Acquisition 5,[Sekolah Cikal Cilandak] Mathematics 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,[Sekolah Cikal Cilandak] Mathematics 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,[ Sekolah Cikal Cilandak ] Christian Studies 6,[Sekolah Cikal Cilandak] Indonesian Acquisition 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,[Sekolah Cikal Amri] Islamic Studies 8,[Sekolah Cikal Amri] Mathematics 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
